,站点名称,POI编号,拼音名称,换乘标志 1:换乘，0:不可换乘,su,sid编号,gd经度,gd纬度,路线名称,城市名称
288,朱家河,BV10859482,zhu jia he,0,1,900000075739021,114.364654,30.680146,21号线(阳逻线),武汉
289,谌家矶,BV10859493,chen jia ji,0,1,900000075739022,114.373120,30.683869,21号线(阳逻线),武汉
290,青龙,BV10859485,qing long,0,1,900000075739023,114.390414,30.705460,21号线(阳逻线),武汉
291,高车,BV10859489,gao che,0,1,900000075739024,114.409040,30.713601,21号线(阳逻线),武汉
292,武湖,BV10859491,wu hu,0,1,900000075739025,114.429990,30.707017,21号线(阳逻线),武汉
293,沙口,BV10859483,sha kou,0,1,900000075739026,114.477733,30.709197,21号线(阳逻线),武汉
294,军民村,BV10859486,jun min cun,0,1,900000075739027,114.515236,30.709985,21号线(阳逻线),武汉
295,武生院,BV10859487,wu sheng yuan,0,1,900000075739028,114.525709,30.708536,21号线(阳逻线),武汉
296,阳逻,BV10859490,yang luo,0,1,900000075739029,114.553039,30.703571,21号线(阳逻线),武汉
297,阳逻开发区,BV10859494,YangLuo KaiFaQu,0,1,900000075739030,114.567772,30.701603,21号线(阳逻线),武汉
298,施岗,BV10859484,shi gang,0,1,900000075739031,114.600916,30.706234,21号线(阳逻线),武汉
299,金台,BV10859488,jin tai,0,1,900000075739032,114.619116,30.713671,21号线(阳逻线),武汉
