real_estate_price,station_name,station_location,station_distance,estate_lon,estate_lat
10001.0,古田一路,"(114.183062, 30.604521)",0.015893331966586963,114.176442,30.590072
10008.0,横店,"(114.289753, 30.804287)",0.129666860177764,114.39374109924,30.881746472273
10078.0,张家湾,"(114.29331, 30.495453)",0.0029452079722852463,114.292619,30.49259
10084.0,蔡甸广场,"(114.041735, 30.573054)",0.014026882903908963,114.048935,30.585092
10086.0,宗关,"(114.224975, 30.580306)",0.006640429052403028,114.220348,30.575543
10090.0,蔡甸广场,"(114.041735, 30.573054)",0.006901185122360672,114.04447613311,30.579387446563
10090.0,小东门,"(114.318461, 30.545012)",0.0019673822709342804,114.317598,30.543244
10093.0,蔡甸广场,"(114.041735, 30.573054)",0.012492750498539916,114.03842009696,30.585098925606
10097.0,宝通寺,"(114.341206, 30.530349)",0.006067332197931221,114.345808,30.526395
10101.0,蔡甸广场,"(114.041735, 30.573054)",0.0032353552090938335,114.04324434338,30.575915713803
10106.0,北华街,"(114.323569, 30.3581)",0.012056569371104135,114.311618,30.356508
10109.0,街道口,"(114.353503, 30.526597)",0.006075502036871168,114.347532,30.525475
10121.0,沌阳大道,"(114.157139, 30.489376)",0.022344357528357953,114.14498637807,30.47062542418
10135.0,阳逻开发区,"(114.567772, 30.701603)",0.015374114917203596,114.58210085318,30.696030982768
10142.0,临嶂大道,"(114.02859, 30.57179)",0.008729099896326187,114.030709,30.580258
10145.0,临嶂大道,"(114.02859, 30.57179)",0.01762829589041248,114.027286,30.58937
10148.0,汉口北,"(114.329481, 30.711953)",0.015545575640679947,114.323112,30.697772
10173.0,知音,"(114.091765, 30.556845)",0.01780425008249191,114.092154,30.539045
10175.0,金融港北,"(114.420416, 30.461963)",0.006491561060329004,114.426749,30.460537
10177.0,孟家铺,"(114.173901, 30.56499)",0.008341997902179368,114.173401,30.573317
10178.0,张家湾,"(114.29331, 30.495453)",0.011390163695053482,114.284565,30.488155
10180.0,二雅路,"(114.153009, 30.633044)",0.009048460476788473,114.149335,30.641313
10183.0,青年路,"(114.264757, 30.585762)",0.003783269089033287,114.260982,30.586012
10186.0,东风公司,"(114.166088, 30.500107)",0.00312272851451704,114.1629821102,30.499783145209
10221.0,汉口北,"(114.329481, 30.711953)",0.025466696077126334,114.35315131047,30.721348158931
10225.0,横店,"(114.289753, 30.804287)",0.12079144189280273,114.38650412872,30.876604297557
10229.0,青年路,"(114.264757, 30.585762)",0.005755816132674487,114.25960597049,30.588330329095
10238.0,海口三路,"(114.167486, 30.634344)",0.006550535593470703,114.16124385679,30.636330243869
10247.0,巨龙大道,"(114.253845, 30.711596)",0.004540875906693081,114.250922,30.708121
10251.0,沌阳大道,"(114.157139, 30.489376)",0.03199778054214708,114.12768460567,30.476874135568
10258.0,梅苑小区,"(114.326149, 30.530916)",0.0038150134589020465,114.32708205235,30.527216845907
10259.0,谭鑫培公园,"(114.322041, 30.370536)",0.006442449922193772,114.326596,30.36598
10265.0,沌阳大道,"(114.157139, 30.489376)",0.01260695018630395,114.144592,30.488148
10276.0,谭鑫培公园,"(114.322041, 30.370536)",0.007559556865317727,114.318391,30.363916
10279.0,汉口北,"(114.329481, 30.711953)",0.030068034920820844,114.359399,30.714953
10280.0,五环体育中心,"(114.136902, 30.634026)",0.008764237017665646,114.14485380355,30.637711196169
10283.0,腾龙大道,"(114.259856, 30.727857)",0.013321344564270867,114.271242,30.720942
10286.0,和平公园,"(114.386836, 30.631463)",0.008568162755222377,114.387938,30.622966
10299.0,沌阳大道,"(114.157139, 30.489376)",0.002883255104916972,114.154941,30.491242
10304.0,宗关,"(114.224975, 30.580306)",0.009973510164434646,114.230658,30.57211
10305.0,武东,"(114.457159, 30.578433)",0.04963752666078272,114.493981,30.61172
10311.0,横店,"(114.289753, 30.804287)",0.12350725141676462,114.3743215047,30.894299272304
10315.0,蔡甸广场,"(114.041735, 30.573054)",0.007845124154536897,114.036368,30.578776
